ID Testu,Funkcja,Kroki Testowe,Oczekiwany Rezultat,Status,Notatki
1.1,Nowy plik,"1. Uruchom aplikację.
2. W menu 'Plik' wybierz opcję 'Nowy'.","- Powinna otworzyć się nowa zakładka z pustym edytorem kodu.
- Zakładka powinna mieć domyślną nazwę, np. 'Untitled'.",,
1.2.1,Otwieranie pliku Python,"1. W menu 'Plik' wybierz 'Otwórz'.
2. Wybierz plik z rozszerzeniem .py.","- Plik zostaje otwarty w nowej zakładce.
- Kod jest wyświetlany poprawnie.
- Podświetlanie składni działa zgodnie z językiem Python.",,
1.2.2,Otwieranie pliku nieobsługiwanego,"1. W menu 'Plik' wybierz 'Otwórz'.
2. Wybierz plik .docx.","- Aplikacja wyświetla komunikat o błędzie lub ostrzeżenie, że plik nie jest obsługiwany.
- Plik nie jest otwierany w edytorze.",,
1.3,Zapisywanie pliku,"1. Otwórz nowy plik lub dokonaj zmian w istniejącym.
2. W menu 'Plik' wybierz 'Zapisz'.","- Jeśli plik nie był wcześniej zapisany, powinno pojawić się okno dialogowe 'Zapisz jako'.
- Po wskazaniu ścieżki plik zostaje zapisany.
- Gwiazdka * przy nazwie zakładki znika.
- Jeśli plik był wcześniej zapisany, zmiany są zapisywane bez okna dialogowego.",,
1.4,Zapisz jako,"1. W menu 'Plik' wybierz 'Zapisz jako...'.
2. Wybierz nową ścieżkę i nazwę pliku.","- Plik zostaje zapisany pod nową nazwą.
- Zakładka aktualizuje nazwę pliku.
- Gwiazdka * przy nazwie zakładki znika.",,
1.5,Auto-zapis,"1. Upewnij się, że w ustawieniach opcja auto-zapisu jest włączona.
2. Dokonaj zmian w otwartym pliku.
3. Poczekaj 5 minut (lub ustaw krótszy interwał na potrzeby testu).","- Po upływie czasu auto-zapis powinien się wykonać.
- Zmiany powinny być zapisane w pliku na dysku.
- Gwiazdka * może zniknąć lub pozostać w zależności od implementacji.",,
2.1,Podświetlanie składni,"1. Otwórz plik w języku Python, JavaScript, C++, Go.
2. Sprawdź, czy składnia jest podświetlana odpowiednio dla każdego języka.","- Podświetlanie składni działa poprawnie dla każdego języka.
- Kolory i style są zgodne z wybranym motywem.",,
2.2,Inteligentne wcięcia,"1. Upewnij się, że opcja 'Inteligentne wcięcie' jest włączona w ustawieniach.
2. Wpisz kod, który wymaga wcięcia (np. po dwukropku w Pythonie).
3. Naciśnij Enter.","- Nowa linia jest automatycznie wcięta zgodnie z poprzednią linią.
- Dodatkowe wcięcie jest dodawane po liniach zakończonych dwukropkiem w Pythonie.",,
2.3,Autouzupełnianie,"1. Upewnij się, że autouzupełnianie jest włączone w ustawieniach.
2. Wpisz fragment kodu, np. zaczynając pisać nazwę funkcji lub zmiennej.
3. Obserwuj, czy pojawia się lista podpowiedzi.
4. Wybierz podpowiedź z listy.","- Lista podpowiedzi pojawia się po wpisaniu odpowiedniej liczby znaków.
- Podpowiedzi są zgodne z kontekstem (np. dostępne metody, zmienne).
- Wybrana podpowiedź zostaje wstawiona do kodu.",,
2.4,Szukanie tekstu,"1. Otwórz plik z kodem.
2. Naciśnij Ctrl+F lub wybierz opcję 'Znajdź'.
3. Wpisz szukany tekst i naciśnij Enter.","- Dialog wyszukiwania pojawia się.
- Wystąpienia szukanego tekstu są podświetlane w kodzie.
- Kursor przeskakuje do kolejnego wystąpienia po naciśnięciu Enter.",,
2.5,Podświetlanie bieżącej linii,"1. Kliknij w dowolne miejsce w edytorze.","- Bieżąca linia jest podświetlona innym kolorem tła.",,
2.6,Numeracja linii,"1. Sprawdź, czy po lewej stronie edytora widoczne są numery linii.","- Numery linii są wyświetlane poprawnie.
- Zmieniają się dynamicznie przy przewijaniu i dodawaniu/usuwaniu linii.",,
3.1,Wybór repozytorium Git,"1. W menu 'Git' wybierz 'Wybierz Repozytorium Git'.
2. Wskaż folder z repozytorium Git.","- Repozytorium zostaje załadowane.
- Ścieżka jest zapamiętana i dostępna po ponownym uruchomieniu aplikacji.",,
3.2,Commit zmian,"1. Dokonaj zmian w pliku znajdującym się w repozytorium.
2. W menu 'Git' wybierz 'Commit'.
3. Wpisz wiadomość commit i zatwierdź.","- Zmiany zostają zacommitowane.
- Otrzymujesz potwierdzenie o powodzeniu operacji.",,
3.3,Push zmian,"1. W menu 'Git' wybierz 'Push'.","- Zmiany zostają wypchnięte do zdalnego repozytorium.
- Otrzymujesz potwierdzenie o powodzeniu operacji.",,
3.4,Pull zmian,"1. W menu 'Git' wybierz 'Pull'.","- Najnowsze zmiany zostają pobrane z zdalnego repozytorium.
- Konflikty (jeśli wystąpią) są odpowiednio obsługiwane lub zgłaszane.",,
3.5.1,Tworzenie brancha Git,"1. W menu 'Git' wybierz 'Utwórz Branch'.
2. Wpisz nazwę nowego brancha.","- Nowy branch zostaje utworzony i aktywowany.",,
3.5.2,Przełączanie brancha Git,"1. W menu 'Git' wybierz 'Przełącz Branch'.
2. Wybierz istniejący branch z listy.","- Aktywny branch zostaje zmieniony.",,
3.5.3,Usuwanie brancha Git,"1. W menu 'Git' wybierz 'Usuń Branch'.
2. Wybierz branch do usunięcia.","- Wybrany branch zostaje usunięty (o ile nie jest aktualnie aktywny).",,
